offset,latitude,longitude,url,title
554,39.062916,-77.888947,http://clui.org/ludb/site/mount-weather-federal-bunker,Mount Weather Federal Bunker
555,37.163872,-76.577278,http://clui.org/ludb/site/us-army-transportation-museum,U.S. Army Transportation Museum
556,36.930717,-76.289124,http://clui.org/ludb/site/norfolk-naval-base,Norfolk Naval Base
557,38.870987,-77.055962,http://clui.org/ludb/site/pentagon,Pentagon
558,37.251515,-76.539516,http://clui.org/ludb/site/yorktown-naval-weapons-station,Yorktown Naval Weapons Station
559,37.084629,-76.352715,http://clui.org/ludb/site/langley-air-force-base,Langley Air Force Base
560,47.459673,-92.957897,http://clui.org/ludb/site/hibbing-open-pit-mine,Hibbing Open Pit Mine
561,47.478473,-92.896442,http://clui.org/ludb/site/iron-world,Iron World
562,47.436688,-92.93807,http://clui.org/ludb/site/greyhound-bus-museum,Greyhound Bus Museum
563,47.819264,-92.242177,http://clui.org/ludb/site/soudan-mine,Soudan Mine
564,47.444554,-92.940849,http://clui.org/ludb/site/north-hibbing-town-site-frisbee-park,North Hibbing Town Site Frisbee Park
565,44.952127,-93.477033,http://clui.org/ludb/site/cargill-headquarters,Cargill Headquarters
566,44.97002,-93.28907,http://clui.org/ludb/site/walker-art-center-garden,Walker Art Center Garden
567,47.461286,-92.540089,http://clui.org/ludb/site/largest-hockey-stick,Largest Hockey Stick
568,46.781761,-92.103935,http://clui.org/ludb/site/lake-superior-railroad-museum,Lake Superior Railroad Museum
569,47.447373,-92.945516,http://clui.org/ludb/site/hull-rust-mine-and-overlook,Hull Rust Mine and Overlook
570,47.507077,-92.526298,http://clui.org/ludb/site/mineview-sky-overlook,Mineview in the Sky Overlook
571,44.707838,-93.091793,http://clui.org/ludb/site/umore-park,UMore Park
572,44.854347,-93.242172,http://clui.org/ludb/site/mall-america,Mall of America
573,44.868501,-93.414195,http://clui.org/ludb/site/atk-minnesota-headquarters,ATK Minnesota Headquarters
574,44.930947,-93.037355,http://clui.org/ludb/site/revival-field-pigs-eye-landfill,"Revival Field, Pig&#039;s Eye Landfill"
575,47.48862,-92.892505,http://clui.org/ludb/site/minnesota-mining-museum,Minnesota Mining Museum
576,47.421843,-92.934076,http://clui.org/ludb/site/bob-dylans-house,Bob Dylan&#039;s House
577,46.780006,-92.093475,http://clui.org/ludb/site/canal-park-marine-museum,Canal Park Marine Museum
578,40.663548,-86.147293,http://clui.org/ludb/site/grissom-air-reserve-base,Grissom Air Reserve Base
