County, FIPS,AgeAdjustedRateP100K
"Muscatine County, Iowa(7,8)",19139,506.3
"Scurry County, Texas(6,10)",48415,506.3
"Terrebonne Parish, Louisiana(7,9)",22109,506.2
"Polk County, Tennessee(6,10)",47139,506
"Douglas County, South Dakota(6,10)",46043,505.5
"Muskegon County, Michigan(6,10)",26121,505.2
"Warren County, New Jersey(7,8)",34041,504.9
"Morris County, New Jersey(7,8)",34027,504.8
"Randolph County, North Carolina(6,10)",37151,504.8
"Early County, Georgia(7,9)",13099,504.8
"Albany County, New York(6,10)",36001,504.8
"Walker County, Alabama(6,10)",1127,504.6
"Starke County, Indiana(6,10)",18149,504.5
"Hawkins County, Tennessee(6,10)",47073,504.3
"Lee County, Iowa(7,8)",19111,504.2
"Ohio County, Indiana(6,10)",18115,504.1
"Fentress County, Tennessee(6,10)",47049,503.4
"Belknap County, New Hampshire(6,10)",33001,503.4
"Lanier County, Georgia(7,9)",13173,503.3
"Skagit County, Washington(7,8)",53057,503.3
"Harrison County, West Virginia(6,10)",54033,503.2
"Solano County, California(7,9)",6095,503.1
"Macon County, Tennessee(6,10)",47111,503.1
"Knox County, Ohio(6,10)",39083,503
"Gilliam County, Oregon(6,10)",41021,503
"Allegany County, New York(6,10)",36003,502.7
"Bay County, Florida(6,10)",12005,502.6
"Chemung County, New York(6,10)",36015,502.5
"Stewart County, Tennessee(6,10)",47161,502.4
"St. Tammany Parish, Louisiana(7,9)",22103,502.4
"Effingham County, Georgia(7,9)",13103,502.4
"Aurora County, South Dakota(6,10)",46003,502.2
"Quitman County, Georgia(7,9)",13239,501.8
"Spalding County, Georgia(7,9)",13255,501.6
"Bartow County, Georgia(7,9)",13015,501.1
"Perry County, Mississippi(6,10)",28111,501.1
"Carter County, Missouri(6,10)",29035,500.8
"Harrison County, Iowa(7,8)",19085,500.8
"Dougherty County, Georgia(7,9)",13095,500.7
"Tattnall County, Georgia(7,9)",13267,500.6
"Potter County, Texas(6,10)",48375,500.4
"Hot Springs County, Wyoming(6,10)",56017,500.4
"Walworth County, Wisconsin(6,10)",55127,500.3
"Randolph County, Indiana(6,10)",18135,500.2
"Terrell County, Texas(6,10)",48443,500.2
"Orleans County, New York(6,10)",36073,500.1
"Lumpkin County, Georgia(7,9)",13187,500.1
"Broome County, New York(6,10)",36007,500
"Ketchikan Gateway Borough, Alaska(6,10)",2130,499.7
"Strafford County, New Hampshire(6,10)",33017,499.7
"Guilford County, North Carolina(6,10)",37081,499.7
"Beaufort County, North Carolina(6,10)",37013,499.5
"Cabell County, West Virginia(6,10)",54011,499.4
"Grant County, Indiana(6,10)",18053,499.3
"Morgan County, Georgia(7)",13211,499.3
"Greene County, New York(6,10)",36039,499.2
"Cook County, Georgia(7,9)",13075,499.2
"Macomb County, Michigan(7,8)",26099,499.2
"Washington County, Alabama(6,10)",1129,498.9
"Kitsap County, Washington(7,8)",53035,498.8
"Snohomish County, Washington(7,8)",53061,498.6
"Webster Parish, Louisiana(7,9)",22119,498.6
"Clay County, Iowa(7,8)",19041,498.5
"Burke County, North Carolina(6,10)",37023,498.5
"Perry County, Tennessee(6,10)",47135,498.4
"Woodruff County, Arkansas(6,10)",5147,498.3
"Onslow County, North Carolina(6,10)",37133,498.3
"Chickasaw County, Mississippi(6,10)",28017,498.3
"Marion County, Missouri(6,10)",29127,498.3
"Lonoke County, Arkansas(6,10)",5085,498.1
"Dorchester County, South Carolina(6,10)",45035,498
"Madison County, Georgia(7,9)",13195,498
"Anderson County, Tennessee(6,10)",47001,498
"Scott County, Missouri(6,10)",29201,497.9
"Thurston County, Washington(7,8)",53067,497.9
"Jackson County, Arkansas(6,10)",5067,497.8
"Elmore County, Idaho(6,10)",16039,497.8
"Monroe County, Mississippi(6,10)",28095,497.4
"Davie County, North Carolina(6,10)",37059,497.3
"Pike County, Mississippi(6,10)",28113,497.2
"Jefferson County, New York(6,10)",36045,497.1
"Gaston County, North Carolina(6,10)",37071,497.1
"Monroe County, New York(6,10)",36055,497.1
"Rush County, Indiana(6,10)",18139,497.1
"Knox County, Indiana(6,10)",18083,497
"Cherokee County, Georgia(7,9)",13057,497
"Muscogee County, Georgia(7,9)",13215,497
"Putnam County, West Virginia(6,10)",54079,496.9
"Bergen County, New Jersey(7,8)",34003,496.9
"Moore County, North Carolina(6,10)",37125,496.9
"West Feliciana Parish, Louisiana(7,9)",22125,496.8
"Chattooga County, Georgia(7,9)",13055,496.7
"Lincoln County, Wisconsin(6,10)",55069,496.6
"Washburn County, Wisconsin(6,10)",55129,496.6
"Somerset County, New Jersey(7,8)",34035,496.5
"Cedar County, Iowa(7,8)",19031,496.4
"Dutchess County, New York(6,10)",36027,496.3
"Morgan County, Indiana(6,10)",18109,496.2
"Marion County, Florida(6,10)",12083,496.2
"Campbell County, Tennessee(6,10)",47013,496.2
"Forsyth County, Georgia(7,9)",13117,496.1
"Scioto County, Ohio(6,10)",39145,496
"Iberia Parish, Louisiana(7,9)",22045,495.8
"Rhea County, Tennessee(6,10)",47143,495.8
"Lee County, Mississippi(6,10)",28081,495.7
"Lafayette Parish, Louisiana(7,9)",22055,495.6
"Linn County, Missouri(6,10)",29115,495.6
"Oneida County, New York(6,10)",36065,495.3
"New Haven County, Connecticut(7,8)",9009,495.2
"Oakland County, Michigan(7,8)",26125,495.1
"Paulding County, Georgia(7,9)",13223,495.1
"Panola County, Mississippi(6,10)",28107,495
"Peach County, Georgia(7,9)",13225,494.9
"Ben Hill County, Georgia(7,9)",13017,494.9
"Bell County, Texas(6,10)",48027,494.7
"Madison County, New York(6,10)",36053,494.2
"Livingston Parish, Louisiana(7,9)",22063,494.1
"Buchanan County, Iowa(7,8)",19019,494.1
"Giles County, Tennessee(6,10)",47055,493.9
"Hancock County, West Virginia(6,10)",54029,493.9
"Cabarrus County, North Carolina(6,10)",37025,493.8
"Queens County, New York(6,10)",36081,493.8
"Roscommon County, Michigan(6,10)",26143,493.4
"Martin County, Indiana(6,10)",18101,493.4
"Monona County, Iowa(7,8)",19133,493.3
"Jefferson County, Arkansas(6,10)",5069,493.3
"Gordon County, Georgia(7,9)",13129,493.3
"Passaic County, New Jersey(7,8)",34031,493.2
"Granville County, North Carolina(6,10)",37077,493.1
"Dorchester County, Maryland(6,10)",24019,493.1
"Cobb County, Georgia(7,8)",13067,492.9
"Butte County, California(7,9)",6007,492.9
"Greenbrier County, West Virginia(6,10)",54025,492.9
"Hillsborough County, Florida(6,10)",12057,492.9
"Franklin County, Missouri(6,10)",29071,492.8
"Sevier County, Tennessee(6,10)",47155,492.8
"Providence County, Rhode Island(6,10)",44007,492.4
"Habersham County, Georgia(7,9)",13137,492.3
"Carroll County, Georgia(7,9)",13045,492.2
"Jefferson County, Washington(7,8)",53031,492.2
"Franklin County, Georgia(7,9)",13119,492
"Marshall County, Tennessee(6,10)",47117,491.9
"Tompkins County, New York(6,10)",36109,491.8
"Union County, Georgia(7,9)",13291,491.8
